ALL ITERATIONS.
======================================================================================================================================================
n    K    m    It   LRC  z              S                                                                                                   CPU (s)   
15   3    2    20   2    13.273240      (9.88, 9.88, 6.26) (0.3, 0.92, 4.23)                                                                0.001938  
15   3    2    20   3    13.273240      (9.88, 9.88, 6.26) (0.3, 0.92, 4.23)                                                                0.002452  
15   3    3    10   2    31.868526      (9.88, 9.88, 6.26) (1.71, 1.95, 9.22) (5.17, 1.39, 0.91)                                            0.002307  
15   3    3    10   3    31.868526      (1.71, 1.95, 9.22) (9.88, 9.88, 6.26) (5.17, 1.39, 0.91)                                            0.002404  
15   3    3    20   2    31.868526      (1.71, 1.95, 9.22) (9.88, 9.88, 6.26) (5.17, 1.39, 0.91)                                            0.003935  
15   3    3    20   3    31.868526      (1.71, 1.95, 9.22) (9.88, 9.88, 6.26) (5.17, 1.39, 0.91)                                            0.004884  
15   3    4    10   2    59.763763      (1.71, 1.95, 9.22) (9.88, 9.88, 6.26) (0.3, 0.92, 4.23) (6.65, 9.45, 1.02)                          0.002156  
15   3    4    10   3    59.763763      (1.71, 1.95, 9.22) (9.88, 9.88, 6.26) (0.3, 0.92, 4.23) (6.65, 9.45, 1.02)                          0.004000  
15   3    4    20   2    59.763763      (1.71, 1.95, 9.22) (9.88, 9.88, 6.26) (0.3, 0.92, 4.23) (6.65, 9.45, 1.02)                          0.005094  
15   3    4    20   3    59.763763      (1.71, 1.95, 9.22) (9.88, 9.88, 6.26) (0.3, 0.92, 4.23) (6.65, 9.45, 1.02)                          0.006956  
15   3    5    10   2    96.085831      (1.71, 1.95, 9.22) (9.88, 9.88, 6.26) (0.3, 0.92, 4.23) (9.47, 3.56, 1.83) (1.15, 9.21, 3.11)       0.005290  
15   3    5    10   3    96.085831      (0.3, 0.92, 4.23) (1.71, 1.95, 9.22) (9.88, 9.88, 6.26) (9.47, 3.56, 1.83) (1.15, 9.21, 3.11)       0.008234  
15   3    5    20   2    96.085831      (9.88, 9.88, 6.26) (1.71, 1.95, 9.22) (0.3, 0.92, 4.23) (9.47, 3.56, 1.83) (1.15, 9.21, 3.11)       0.011979  
15   3    5    20   3    96.085831      (0.3, 0.92, 4.23) (9.88, 9.88, 6.26) (1.71, 1.95, 9.22) (9.47, 3.56, 1.83) (1.15, 9.21, 3.11)       0.014438  
------------------------------------------------------------------------------------------------------------------------------------------------------
20   3    2    10   2    11.800310      (0.65, 3.76, 9.07) (9.81, 2.05, 1.83)                                                               0.001268  
20   3    2    10   3    11.800310      (0.65, 3.76, 9.07) (9.81, 2.05, 1.83)                                                               0.001423  
20   3    2    20   2    11.800310      (9.81, 2.05, 1.83) (0.65, 3.76, 9.07)                                                               0.003378  
20   3    2    20   3    11.800310      (9.81, 2.05, 1.83) (0.65, 3.76, 9.07)                                                               0.003395  
20   3    3    10   2    30.872660      (0.65, 3.76, 9.07) (9.81, 2.05, 1.83) (8.87, 9.56, 5.34)                                            0.002078  
20   3    3    10   3    30.872660      (9.81, 2.05, 1.83) (0.65, 3.76, 9.07) (8.87, 9.56, 5.34)                                            0.002689  
20   3    3    20   2    30.872660      (0.65, 3.76, 9.07) (9.81, 2.05, 1.83) (8.87, 9.56, 5.34)                                            0.004576  
20   3    3    20   3    30.872660      (0.65, 3.76, 9.07) (8.87, 9.56, 5.34) (9.81, 2.05, 1.83)                                            0.006184  
20   3    4    10   2    56.690315      (9.81, 2.05, 1.83) (0.65, 3.76, 9.07) (9.6, 2.02, 9) (0.83, 7.06, 3.34)                             0.005009  
20   3    4    10   3    56.690315      (9.81, 2.05, 1.83) (0.65, 3.76, 9.07) (9.6, 2.02, 9) (0.83, 7.06, 3.34)                             0.005601  
20   3    4    20   2    56.690315      (9.81, 2.05, 1.83) (0.65, 3.76, 9.07) (9.6, 2.02, 9) (0.83, 7.06, 3.34)                             0.009798  
20   3    4    20   3    56.690315      (9.81, 2.05, 1.83) (9.6, 2.02, 9) (0.65, 3.76, 9.07) (0.83, 7.06, 3.34)                             0.011897  
20   3    5    10   2    92.829750      (0.65, 3.76, 9.07) (9.81, 2.05, 1.83) (8.87, 9.56, 5.34) (9.6, 2.02, 9) (0.83, 7.06, 3.34)          0.008172  
20   3    5    10   3    92.829750      (0.65, 3.76, 9.07) (9.81, 2.05, 1.83) (9.6, 2.02, 9) (0.83, 7.06, 3.34) (8.87, 9.56, 5.34)          0.010491  
20   3    5    20   2    92.829750      (0.65, 3.76, 9.07) (9.81, 2.05, 1.83) (8.87, 9.56, 5.34) (9.6, 2.02, 9) (0.83, 7.06, 3.34)          0.014986  
20   3    5    20   3    92.829750      (9.81, 2.05, 1.83) (0.65, 3.76, 9.07) (8.87, 9.56, 5.34) (9.6, 2.02, 9) (0.83, 7.06, 3.34)          0.019278  
------------------------------------------------------------------------------------------------------------------------------------------------------
30   3    2    10   2    13.073737      (8.06, 9.59, 0.27) (6.71, 0.35, 9.42)                                                               0.001699  
30   3    2    10   3    13.073737      (8.06, 9.59, 0.27) (6.71, 0.35, 9.42)                                                               0.002524  
30   3    2    20   2    13.073737      (8.06, 9.59, 0.27) (6.71, 0.35, 9.42)                                                               0.003424  
30   3    2    20   3    13.073737      (8.06, 9.59, 0.27) (6.71, 0.35, 9.42)                                                               0.004609  
30   3    3    10   2    34.290527      (8.06, 9.59, 0.27) (1.53, 8.09, 9.56) (8.32, 0.47, 8.98)                                            0.004848  
30   3    3    10   3    34.290527      (1.53, 8.09, 9.56) (8.06, 9.59, 0.27) (8.32, 0.47, 8.98)                                            0.004662  
30   3    3    20   2    34.290527      (1.53, 8.09, 9.56) (8.06, 9.59, 0.27) (8.32, 0.47, 8.98)                                            0.008578  
30   3    3    20   3    34.290527      (1.53, 8.09, 9.56) (8.06, 9.59, 0.27) (8.32, 0.47, 8.98)                                            0.009353  
30   3    4    10   2    63.701962      (1.53, 8.09, 9.56) (8.06, 9.59, 0.27) (8.32, 0.47, 8.98) (6.75, 0.07, 1.8)                          0.007281  
30   3    4    10   3    63.701962      (1.53, 8.09, 9.56) (8.06, 9.59, 0.27) (8.32, 0.47, 8.98) (6.75, 0.07, 1.8)                          0.008452  
30   3    4    20   2    63.701962      (1.53, 8.09, 9.56) (8.06, 9.59, 0.27) (8.32, 0.47, 8.98) (6.75, 0.07, 1.8)                          0.016838  
30   3    4    20   3    63.701962      (1.53, 8.09, 9.56) (8.06, 9.59, 0.27) (8.32, 0.47, 8.98) (6.75, 0.07, 1.8)                          0.017609  
30   3    5    10   2    99.592033      (1.53, 8.09, 9.56) (6.75, 0.07, 1.8) (8.06, 9.59, 0.27) (7.54, 8.93, 9.66) (8.32, 0.47, 8.98)       0.014257  
30   3    5    10   3    99.592041      (6.75, 0.07, 1.8) (1.53, 8.09, 9.56) (8.06, 9.59, 0.27) (8.32, 0.47, 8.98) (7.54, 8.93, 9.66)       0.013817  
30   3    5    20   2    99.592041      (8.06, 9.59, 0.27) (8.32, 0.47, 8.98) (7.54, 8.93, 9.66) (6.75, 0.07, 1.8) (1.53, 8.09, 9.56)       0.031556  
30   3    5    20   3    99.592041      (6.75, 0.07, 1.8) (7.54, 8.93, 9.66) (1.53, 8.09, 9.56) (8.32, 0.47, 8.98) (8.06, 9.59, 0.27)       0.028969  
------------------------------------------------------------------------------------------------------------------------------------------------------


NO_PROGRESS_ITERATIONS.
======================================================================================================================================================
